employee_id,hire_date,submission_date,wotc_category,eligible
4,2025-01-17,2025-01-17,Not Eligible,False
16,2025-01-13,2025-01-17,Not Eligible,False
22,2025-01-12,2025-01-17,Designated Community Resident,True
24,2025-02-06,2025-02-07,TANF Recipient,True
30,2025-02-05,2025-02-07,Long-Term Unemployment Recipient,True
11,2025-02-09,2025-02-14,Not Eligible,False
12,2025-03-05,2025-03-07,Not Eligible,False
18,2025-03-09,2025-03-14,Not Eligible,False
20,2025-03-11,2025-03-14,Ex-Felon,True
28,2025-03-26,2025-03-28,Not Eligible,False
23,2025-04-10,2025-04-11,Ex-Felon,True
9,2025-05-22,2025-05-23,Not Eligible,False
21,2025-05-27,2025-05-30,Not Eligible,False
5,2025-06-13,2025-06-13,Long-Term Unemployment Recipient,True
13,2025-06-08,2025-06-13,Not Eligible,False
8,2025-07-13,2025-07-18,Not Eligible,False
19,2025-07-24,2025-07-25,TANF Recipient,True
2,2025-09-03,2025-09-05,Designated Community Resident,True
26,2025-09-03,2025-09-05,Long-Term TANF Recipient,True
7,2025-09-18,2025-09-19,Not Eligible,False
25,2025-09-13,2025-09-19,Not Eligible,False
1,2025-10-04,2025-10-10,Not Eligible,False
27,2025-10-12,2025-10-17,TANF Recipient,True
29,2025-10-16,2025-10-17,Long-Term Unemployment Recipient,True
17,2025-10-30,2025-10-31,Long-Term Unemployment Recipient,True
10,2025-11-16,2025-11-21,Long-Term Unemployment Recipient,True
15,2025-11-26,2025-11-28,Vocational Rehabilitation Referral,True
14,2025-12-11,2025-12-12,Not Eligible,False
6,2025-12-19,2025-12-19,SSI Recipient,True
31,2025-12-14,2025-12-19,Not Eligible,False
32,2025-12-14,2025-12-19,Not Eligible,False
33,2025-12-14,2025-12-19,Long-Term Unemployment Recipient,True
34,2025-12-14,2025-12-19,Long-Term Unemployment Recipient,True
35,2025-12-15,2025-12-19,Long-Term Unemployment Recipient,True
36,2025-12-15,2025-12-19,Not Eligible,False
37,2025-12-15,2025-12-19,TANF Recipient,True
38,2025-12-15,2025-12-19,Long-Term Unemployment Recipient,True
39,2025-12-15,2025-12-19,Not Eligible,False
40,2025-12-16,2025-12-19,Not Eligible,False
41,2025-12-16,2025-12-19,Not Eligible,False
42,2025-12-16,2025-12-19,Long-Term Unemployment Recipient,True
43,2025-12-17,2025-12-19,Not Eligible,False
44,2025-12-17,2025-12-19,Not Eligible,False
45,2025-12-17,2025-12-19,Not Eligible,False
46,2025-12-17,2025-12-19,Veteran - Service-Connected Disability,True
47,2025-12-17,2025-12-19,Not Eligible,False
48,2025-12-17,2025-12-19,Long-Term Unemployment Recipient,True
49,2025-12-17,2025-12-19,Not Eligible,False
50,2025-12-17,2025-12-19,Not Eligible,False
51,2025-12-17,2025-12-19,Not Eligible,False
3,2025-12-24,2025-12-26,Not Eligible,False
52,2025-12-20,2025-12-26,Vocational Rehabilitation Referral,True
53,2025-12-20,2025-12-26,Long-Term Unemployment Recipient,True
54,2025-12-20,2025-12-26,Ex-Felon,True
55,2025-12-20,2025-12-26,Not Eligible,False
56,2025-12-20,2025-12-26,Vocational Rehabilitation Referral,True
57,2025-12-20,2025-12-26,Not Eligible,False
58,2025-12-20,2025-12-26,Long-Term Unemployment Recipient,True
59,2025-12-20,2025-12-26,Not Eligible,False
60,2025-12-21,2025-12-26,Not Eligible,False
61,2025-12-22,2025-12-26,Not Eligible,False
62,2025-12-22,2025-12-26,Ex-Felon,True
63,2025-12-23,2025-12-26,Not Eligible,False
64,2025-12-23,2025-12-26,Not Eligible,False
65,2025-12-24,2025-12-26,Not Eligible,False
66,2025-12-24,2025-12-26,Not Eligible,False
67,2025-12-24,2025-12-26,Not Eligible,False
68,2025-12-24,2025-12-26,Long-Term TANF Recipient,True
69,2025-12-25,2025-12-26,TANF Recipient,True
70,2025-12-25,2025-12-26,Ex-Felon,True
71,2025-12-25,2025-12-26,Not Eligible,False
72,2025-12-25,2025-12-26,Not Eligible,False
73,2025-12-26,2025-12-26,Not Eligible,False
74,2025-12-26,2025-12-26,Veteran - Unemployed,True
75,2025-12-26,2025-12-26,Not Eligible,False
76,2025-12-26,2025-12-26,Not Eligible,False
77,2025-12-27,2026-01-02,SSI Recipient,True
78,2025-12-28,2026-01-02,SSI Recipient,True
79,2025-12-28,2026-01-02,Not Eligible,False
80,2025-12-29,2026-01-02,Not Eligible,False
81,2025-12-29,2026-01-02,Not Eligible,False
82,2025-12-29,2026-01-02,Not Eligible,False
83,2025-12-29,2026-01-02,Not Eligible,False
84,2025-12-30,2026-01-02,Long-Term TANF Recipient,True
85,2025-12-30,2026-01-02,Not Eligible,False
86,2025-12-30,2026-01-02,SSI Recipient,True
87,2025-12-30,2026-01-02,Not Eligible,False
88,2025-12-31,2026-01-02,Not Eligible,False
89,2025-12-31,2026-01-02,Not Eligible,False
90,2026-01-01,2026-01-02,Not Eligible,False
91,2026-01-01,2026-01-02,Not Eligible,False
92,2026-01-02,2026-01-02,Not Eligible,False
93,2026-01-03,2026-01-09,Ex-Felon,True
94,2026-01-03,2026-01-09,Long-Term Unemployment Recipient,True
95,2026-01-04,2026-01-09,SSI Recipient,True
96,2026-01-04,2026-01-09,Not Eligible,False
97,2026-01-04,2026-01-09,Not Eligible,False
98,2026-01-05,2026-01-09,Not Eligible,False
99,2026-01-05,2026-01-09,Not Eligible,False
100,2026-01-06,2026-01-09,Not Eligible,False
101,2026-01-06,2026-01-09,Long-Term Unemployment Recipient,True
102,2026-01-07,2026-01-09,Not Eligible,False
103,2026-01-07,2026-01-09,Vocational Rehabilitation Referral,True
104,2026-01-07,2026-01-09,Designated Community Resident,True
105,2026-01-07,2026-01-09,Veteran - Service-Connected Disability,True
